sysno|authorroman|titleroman|title|imprintplaceroman|publisherroman|date|pages|authorlast|authorfirst|iadetails|iaidentifier|streamurl|downloadurl,,,,,,,,,,,,,,,,,
212318|Puchkoff, Pincus|Mayne eyndriḳe fun Erets Yiśroel|מיינע איינדריקע פון ארץ ישראל|Brooklyn|Aroysgegeben fun farfaser,|1928|227|פושקאף|פנחס|https://archive.org/details/nybc212318|nybc212318|http://www.archive.org/stream/nybc212318|http://www.archive.org/download/nybc212318/nybc212318.pdf
212352|Tolstoy, Leo|Der ṭayṿel : ertsehlung|דער טייוועל : ערצעהלונג|Ṿarsha|Ferlag uniṿersal,|1914|86|טאלסטאי|ל.נ|https://archive.org/details/nybc212352|nybc212352|http://www.archive.org/stream/nybc212352|http://www.archive.org/download/nybc212352/nybc212352.pdf
212350|Korczak, Janusz|Minyaṭurn|מיניאטורען|Ṿarsha|Uniṿerzal,|1914|66|קארטשאק|יאנוש|https://archive.org/details/minyaturn00korc|minyaturn00korc|http://www.archive.org/stream/minyaturn00korc|http://www.archive.org/download/minyaturn00korc/minyaturn00korc.pdf
212349|Kreppel, Jonas|Bruder un shṿesṭer ... : ertsehlung|ברודער און שוועסטער ... : ערצעהלונג|Pshemishl|Śimḥah Fraynd,|1924|32|קרעפעל|י|https://archive.org/details/nybc212349|nybc212349|http://www.archive.org/stream/nybc212349|http://www.archive.org/download/nybc212349/nybc212349.pdf
212819|Peretz, Isaac Leib|Far ḳleyne ḳinder : gezang un shpil|פאר לקיינע קינדער : געזאנג און שפיל|Ṿilna|Ṿilner farlag fun B. A. Ḳletsḳin,|1925|116|פרץ|י. ל|https://archive.org/details/nybc212819|nybc212819|http://www.archive.org/stream/nybc212819|http://www.archive.org/download/nybc212819/nybc212819.pdf
212358|Peretz, Isaac Leib|Di goldene ḳeyṭ : a ḥasidishe familyen-drame, in 3 aḳṭn|די גאלדענע קייט : א חסידישע פאמיליען-דראמע אין 3 אקטן|Ṿilne|B.A. Ḳletsḳin,|1922|104|||https://archive.org/details/nybc212358|nybc212358|http://www.archive.org/stream/nybc212358|http://www.archive.org/download/nybc212358/nybc212358.pdf
212426|Budzon, Joshua|Ḥashḳe di grafine : oder, Oys shṿesṭer, ṿayṭer kale : eyn hekhsṭ inṭeresanṭer roman|האשקע דיא גראפינע : אדער, אויס שייעסטער, ווייטער כלה : איין העכסט אינטערעסאנטער ראמאן|Ṿilna|[s.n.], 649,|1889|176|בודזאהן|י|https://archive.org/details/nybc212426|nybc212426|http://www.archive.org/stream/nybc212426|http://www.archive.org/download/nybc212426/nybc212426.pdf
212429|Ṭanenboym, A.|Ḥadshi Sṭaṿros der royber hoypṭmann|חאדשי סטאווראס דער רויבער הויפטמאנן|Nyu Yorḳ|B. Rabinoṿiṭts, [n.d.]||84|טאנאנבוים|א|https://archive.org/details/nybc212429|nybc212429|http://www.archive.org/stream/nybc212429|http://www.archive.org/download/nybc212429/nybc212429.pdf
211633|Matshtet, Grigori.|Zshid : an ertsehlung|זשיד : אן ערצעהלונג|Nyu Yorḳ|A. Hillman,|1904|86|מאטשטעט|גריגארי|https://archive.org/details/nybc211633|nybc211633|http://www.archive.org/stream/nybc211633|http://www.archive.org/download/nybc211633/nybc211633.pdf
212431|Kacyzne, Alter|Baladn un groṭesḳn|באלאדן און גראטעסקן|Ṿarsha|Ḥ. Bzshoza,|1936|148|קאציזנע|אלטער|https://archive.org/details/baladnungrotes00kacy|baladnungrotes00kacy|http://www.archive.org/stream/baladnungrotes00kacy|http://www.archive.org/download/baladnungrotes00kacy/baladnungrotes00kacy.pdf
